REPORTING_RANGE,COURSE_OFFERING_SEMESTER,INSTRUCTOR,PRIMARY_INSTRUCTOR,CRN,SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,COURSE_TITLE_SHORT,COURSE_TITLE_LONG,COURSE_COLLEGE,COURSE_COLLEGE_DESC,STUDENT_NAME,STUDENT_ID,STUDENT_COLLEGE,STUDENT_COLLEGE_DESC,STUDENT_CLASSIFICATION_DESC,MAJOR_DESC,REGISTRATION_STATUS_DESC,FINAL_GRADE
Fall 2018 - Fall 2023,Fall 2023,Z,Y,40702,COMM,1317,14,PRESENTATIONAL SPEAKING,,HM,School of Arts and Humanities,K,1312827,MB,Bill Munday School of Business,Freshman,Academic Exploration-SMB,Withdrawn for Absences,WA
Fall 2018 - Fall 2023,Fall 2023,Z,Y,40730,ENGL,2324,3,TOPICS IN LITERATURE,TOPICS IN LITERATURE: MODERN IRISH LITERATURE,HM,School of Arts and Humanities,K,1312827,MB,Bill Munday School of Business,Freshman,Academic Exploration-SMB,Admin Registered,D
Fall 2018 - Fall 2023,Fall 2023,Z,Y,40564,BUSI,1301,1,INTRODUCTION TO BUSINESS,,MB,Bill Munday School of Business,K,1312827,MB,Bill Munday School of Business,Freshman,Academic Exploration-SMB,Admin Registered,C
Fall 2018 - Fall 2023,Fall 2023,A,Y,40403,COSC,1305,5,COMPUTATIONAL SKILLS I,,NS,School of Natural Sciences,K,1312827,MB,Bill Munday School of Business,Freshman,Academic Exploration-SMB,Admin Registered,F
Fall 2018 - Fall 2023,Fall 2023,A,Y,40004,FSEM,1401,3,FR SEMINAR: POP CULTURE,POP CULTURE: GRAPHIC NOVELS ON SCREEN,UP,General Education,K,1312827,MB,Bill Munday School of Business,Freshman,Academic Exploration-SMB,Admin Registered,F
Fall 2018 - Fall 2023,Fall 2023,B,Y,40656,ARTS,1316,5,FOUNDATION DRAWING,,HM,School of Arts and Humanities,K,1316843,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,C
Fall 2018 - Fall 2023,Fall 2023,B,Y,40808,RELS,2342,1,TOPICS-SOCIAL JUSTICE & METHOD,"LIFE, DEATH, LOVE: SPIRITUALITY & JUSTICE",HM,School of Arts and Humanities,K,1316843,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A+
Fall 2018 - Fall 2023,Fall 2023,B,Y,41099,BUSI,1301,5,INTRODUCTION TO BUSINESS,,MB,Bill Munday School of Business,K,1316843,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,B
Fall 2018 - Fall 2023,Fall 2023,C,Y,40467,MATH,124,1,SUPPORT FOR SUCCESS-BUSI MATH,,NS,School of Natural Sciences,K,1316843,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,P#
Fall 2018 - Fall 2023,Fall 2023,C,Y,40473,MATH,1324,1,MATHEMATICS FOR BUSINESS,,NS,School of Natural Sciences,K,1316843,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,B
Fall 2018 - Fall 2023,Fall 2023,C,Y,40024,FSEM,1412,1,FR SEMINAR: COMMUNITY,COMMUNITY: COOKING UP REVOLUTION,UP,General Education,L,1316843,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A-
Fall 2018 - Fall 2023,Fall 2023,D,Y,40223,PSYC,2301,1,GENERAL PSYCHOLOGY,,BS,School of Behavior-Social Sci,L,1303820,BS,School of Behavior-Social Sci,Sophomore,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2023,E,Y,40301,BIOL,1107,2,GENERAL BIOLOGY I LAB,,NS,School of Natural Sciences,L,1303820,BS,School of Behavior-Social Sci,Sophomore,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2023,F,Y,40311,BIOL,1307,1,GENERAL BIOLOGY I,,NS,School of Natural Sciences,L,1303820,BS,School of Behavior-Social Sci,Sophomore,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2023,F,Y,40371,CHEM,1140,8,GENERAL CHEMISTRY LAB,,NS,School of Natural Sciences,L,1303820,BS,School of Behavior-Social Sci,Sophomore,Behavioral Neuroscience,Admin Registered,A+
Fall 2018 - Fall 2023,Fall 2023,G,Y,40375,CHEM,1340,3,GENERAL CHEMISTRY,,NS,School of Natural Sciences,L,1303820,BS,School of Behavior-Social Sci,Sophomore,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2023,G,Y,40023,FSEM,1409,2,FR SEMINAR: NATURAL SCIENCES,"THE STUFF OF LIFE: DNA, GENETICS AND SOCIETY",UP,General Education,L,1303820,BS,School of Behavior-Social Sci,Sophomore,Behavioral Neuroscience,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2018,G,Y,40477,MATH,2413,4,CALCULUS I,,NS,School of Natural Sciences,L,1237044,MB,Bill Munday School of Business,Freshman,Economics,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2018,G,Y,40505,PHYS,2425,1,UNIVERSITY PHYSICS I,,NS,School of Natural Sciences,L,1237044,MB,Bill Munday School of Business,Freshman,Economics,Admin Registered,B+
Fall 2018 - Fall 2023,Fall 2018,H,Y,40010,HONS,2160,5,HONORS SPECIAL TOPICS:,INTRO TO HONORS AND A LIBERAL ARTS EDUCATION,OT,Other Programs,M,1237044,MB,Bill Munday School of Business,Freshman,Economics,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2018,H,Y,41544,HONS,2312,2,TOPICS IN ORAL COMM:,TOPICS IN ORAL COMM: SPEAKING TRUTH TO POWER,OT,Other Programs,M,1237044,MB,Bill Munday School of Business,Freshman,Economics,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2018,I,Y,41529,FYSM,1100,3,FIRST YEAR SEMINAR,FIRST YEAR SEMINAR INTERNATIONAL STUDENTS,UP,General Education,N,1237044,MB,Bill Munday School of Business,Freshman,Economics,Admin Registered,A
Fall 2018 - Fall 2023,Spring 2019,J,Y,60320,WRIT,1301,9,WRITING AND RHETORIC I,,HM,School of Arts and Humanities,N,1237044,NS,School of Natural Sciences,Sophomore,Mathematics,Web Registered,B
Fall 2018 - Fall 2023,Spring 2019,K,Y,60036,BIOL,1308,7,ORGANISMS AND POPULATIONS,,NS,School of Natural Sciences,N,1237044,NS,School of Natural Sciences,Sophomore,Mathematics,Admin Registered,D
Fall 2018 - Fall 2023,Spring 2019,K,Y,60078,CHEM,1140,6,GENERAL CHEMISTRY LAB,,NS,School of Natural Sciences,N,1237044,NS,School of Natural Sciences,Sophomore,Mathematics,Web Registered,A+
Fall 2018 - Fall 2023,Spring 2019,L,Y,60084,CHEM,1340,4,GENERAL CHEMISTRY,,NS,School of Natural Sciences,N,1237044,NS,School of Natural Sciences,Sophomore,Mathematics,Web Registered,A-
Fall 2018 - Fall 2023,Spring 2019,L,Y,60182,MATH,2414,2,CALCULUS II,,NS,School of Natural Sciences,N,1237044,NS,School of Natural Sciences,Sophomore,Mathematics,Web Registered,C+
Fall 2018 - Fall 2023,Spring 2019,M,Y,60214,PHYS,2426,1,UNIVERSITY PHYSICS II,,NS,School of Natural Sciences,N,1237044,NS,School of Natural Sciences,Sophomore,Mathematics,Web Registered,A
Fall 2018 - Fall 2023,Spring 2021,M,Y,60175,SOCI,1301,3,SELF AND SOCIETY,,BS,School of Behavior-Social Sci,N,1273089,MB,Bill Munday School of Business,Sophomore,Business Administration,Admin Registered,D
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
